Category ID,Category Name,Parent Category,Top Category,Full Path
155924710,Activity Toys,Baby & Kid's Toys,Baby & Kids,Baby & Kids > Baby & Kid's Toys > Activity Toys
3582349456,Art & Drawing Toys,Baby & Kid's Toys,Baby & Kids,Baby & Kids > Baby & Kid's Toys > Art & Drawing Toys
1606244980,Building Toys,Baby & Kid's Toys,Baby & Kids,Baby & Kids > Baby & Kid's Toys > Building Toys
340889585,"Dolls, Playsets & Toy Figures",Baby & Kid's Toys,Baby & Kids,"Baby & Kids > Baby & Kid's Toys > Dolls, Playsets & Toy Figures"
424068447,Kid's Jigsaw Puzzles,Baby & Kid's Toys,Baby & Kids,Baby & Kids > Baby & Kid's Toys > Kid's Jigsaw Puzzles
3219473098,Musical Toys,Baby & Kid's Toys,Baby & Kids,Baby & Kids > Baby & Kid's Toys > Musical Toys
3549662772,Outdoor Play Equipment,Baby & Kid's Toys,Baby & Kids,Baby & Kids > Baby & Kid's Toys > Outdoor Play Equipment
2405634579,Pretend Play,Baby & Kid's Toys,Baby & Kids,Baby & Kids > Baby & Kid's Toys > Pretend Play
460451795,Baby & Toddler Clothing,Baby & Kids Others,Baby & Kids,Baby & Kids > Baby & Kids Others > Baby & Toddler Clothing
2553216891,Kid's Backpacks,Baby & Kids Others,Baby & Kids,Baby & Kids > Baby & Kids Others > Kid's Backpacks
967476369,Kid's Lunch Boxes & Bags,Baby & Kids Others,Baby & Kids,Baby & Kids > Baby & Kids Others > Kid's Lunch Boxes & Bags
588526349,Kids Backpacks,Baby & Kids Others,Baby & Kids,Baby & Kids > Baby & Kids Others > Kids Backpacks
1318689476,Pen & Pencil Cases,Baby & Kids Others,Baby & Kids,Baby & Kids > Baby & Kids Others > Pen & Pencil Cases
1025652667,Boy's Shirts & T-shirts,Boy's Clothing,Baby & Kids,Baby & Kids > Boy's Clothing > Boy's Shirts & T-shirts
4181680837,Boy's Shoes,Boy's Clothing,Baby & Kids,Baby & Kids > Boy's Clothing > Boy's Shoes
3311973940,Boy's Sleepwear,Boy's Clothing,Baby & Kids,Baby & Kids > Boy's Clothing > Boy's Sleepwear
3621112226,Ball Pits & Play Pens,Gates & Playpens,Baby & Kids,Baby & Kids > Gates & Playpens > Ball Pits & Play Pens
2756064773,Safety Gates & Safety Accessories,Gates & Playpens,Baby & Kids,Baby & Kids > Gates & Playpens > Safety Gates & Safety Accessories
1575150374,Girl's Shirts & T-shirts,Girl's Clothing,Baby & Kids,Baby & Kids > Girl's Clothing > Girl's Shirts & T-shirts
4063041735,Girl's Shoes,Girl's Clothing,Baby & Kids,Baby & Kids > Girl's Clothing > Girl's Shoes
1794258897,Girl's Skirts,Girl's Clothing,Baby & Kids,Baby & Kids > Girl's Clothing > Girl's Skirts
3375071348,Girl's Sleepwear,Girl's Clothing,Baby & Kids,Baby & Kids > Girl's Clothing > Girl's Sleepwear
3027864770,Changing Tables,Kid's Furniture,Baby & Kids,Baby & Kids > Kid's Furniture > Changing Tables
681002259,Kid's Beds & Bed Frames,Kid's Furniture,Baby & Kids,Baby & Kids > Kid's Furniture > Kid's Beds & Bed Frames
1475549032,Kid's Bookcases & Shelves,Kid's Furniture,Baby & Kids,Baby & Kids > Kid's Furniture > Kid's Bookcases & Shelves
599500238,Kid's Desks,Kid's Furniture,Baby & Kids,Baby & Kids > Kid's Furniture > Kid's Desks
3369851814,"Kid's Dressers, Cupboards & Wardrobes",Kid's Furniture,Baby & Kids,"Baby & Kids > Kid's Furniture > Kid's Dressers, Cupboards & Wardrobes"
2991413681,"Kid's Tables, Chairs & Seats",Kid's Furniture,Baby & Kids,"Baby & Kids > Kid's Furniture > Kid's Tables, Chairs & Seats"
1719937760,Toy Boxes,Kid's Furniture,Baby & Kids,Baby & Kids > Kid's Furniture > Toy Boxes
2984917892,Baby Health & Grooming Kits,Nursing,Baby & Kids,Baby & Kids > Nursing > Baby Health & Grooming Kits
864421430,Nursing & Feeding,Nursing,Baby & Kids,Baby & Kids > Nursing > Nursing & Feeding
2546599223,Bikes & Scooters,"Ride On Cars, Go-karts & Bikes",Baby & Kids,"Baby & Kids > Ride On Cars, Go-karts & Bikes > Bikes & Scooters"
4174801352,Go-karts,"Ride On Cars, Go-karts & Bikes",Baby & Kids,"Baby & Kids > Ride On Cars, Go-karts & Bikes > Go-karts"
470645683,Ride On Cars,"Ride On Cars, Go-karts & Bikes",Baby & Kids,"Baby & Kids > Ride On Cars, Go-karts & Bikes > Ride On Cars"
2272715733,Stroller & Pram Accessories,Strollers,Baby & Kids,Baby & Kids > Strollers > Stroller & Pram Accessories
974039216,Strollers & Prams,Strollers,Baby & Kids,Baby & Kids > Strollers > Strollers & Prams
